market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
A股,000001.XSHE,平安银行,平安银行股份有限公司,平安银行,PAB,平安银行股份有限公司,"Ping An Bank Co., Ltd.",http://bank.pingan.com,"平安银行是一家总部设在深圳的全国性股份制商业银行（深圳证券交易所：000001）。其前身深圳发展银行，是中国内地首家公开上市的全国性股份制银行。中国平安保险集团及其控股子公司合计持有本行58%的股份，为本行控股股东。截至2017年末，在职员工32,502人，通过全国73家分行、1073家营业机构为客户提供多种金融服务。",中国广东省深圳市深南东路5047号;中国广东省深圳市福田区益田路5023号平安金融中心B座,1987-12-22,1991-04-03,银行,
A股,000002.XSHE,万科A,万科企业股份有限公司,万科,VANKE,万科企业股份有限公司,"China Vanke Co., Ltd.",www.vanke.com,万科企业股份有限公司成立于1984年，经过三十余年的发展，已成为国内领先的城乡建设与生活服务商，公司业务聚焦全国经济最具活力的三大经济圈及中西部重点城市。2016年公司首次跻身《财富》“世界500强”，位列榜单第356位，2017年、2018年接连上榜，分别位列榜单第307位、第332位。2014年万科第四个十年发展规划，已经把“三好住宅供应商”的定位延展为“城市配套服务商”。2018年万科将这一定位进一步迭代升级为“城乡建设与生活服务商”，并具体细化为四个角色：美好生活场景师，实体经济生力军，创新探索试验田，和谐生态建设者。2017年，深圳地铁集团成为本集团第一大股东，始终支持万科的混合所有制结构，支持万科城市配套服务商战略和事业合伙人机制，支持万科管理团队按照既定战略目标，实施运营和管理，支持深化“轨道+物业”发展模式。万科始终坚持为普通人提供好产品、好服务，通过自身的努力，为满足人民对美好生活的各方面需求，做出力所能及的贡献。公司核心业务包括住宅开发、物业服务、租赁住宅；在住房领域，公司始终坚持住房的居住属性，坚持“为普通人盖好房子，盖有人用的房子”。2018年，公司将自身定位进一步迭代升级为“城乡建设与生活服务商”，所搭建的生态体系已初具规模，在巩固住宅开发和物业服务固有优势的基础上，业务已延伸至商业开发和运营、物流仓储服务、租赁住宅、产业城镇、冰雪度假、养老、教育等领域，为更好的服务人民美好生活需要、实现可持续发展奠定了良好基础。未来，公司将始终坚持“大道当然，合伙奋斗”，以“人民的美好生活需要”为中心，以现金流为基础，深入践行“城乡建设与生活服务商”战略，持续创造真实价值，力争成为无愧于伟大新时代的好企业。,广东省深圳市盐田区大梅沙环梅路33号万科中心,1984-05-30,1991-01-29,房地产开发,
A股,000003.XSHE,PT金田A,金田实业(集团)股份有限公司,金田实业,nan,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co.,Ltd.",nan,深圳市金田实业股份有限公司成立于1988年2月8日，其前身为成立于1982年的深圳市纺织工业供销公司，1989年经批准公开发售A股，1991年7月3日在深圳证券交易所上市，上市首日收盘于7.1元。1993年5月，发行B股并在深圳证券交易所上市。1994年12月2日公司更名为金田实业(集团)股份有限公司。2000年5月9日因最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值，公司股票被ST处理。2001年5月9日因最近三年连续亏损，公司股票被暂停上市。2001年5月11日公司被取消ST，实施PT。2002年6月14日公司的恢复上市申请未被深交所接受，公司股票退市转入三板。,"广东省深圳市罗湖区嘉宾路2018号深华商业大厦19楼1909室,广东省深圳市盐田综合保税区金马创新产业园B栋九层",1988-03-10,1991-07-03,综合,
A股,000004.XSHE,国农科技,深圳中国农大科技股份有限公司,国农科技,CAU-TECH,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd.",www.sz000004.cn,"深圳中国农大科技股份有限公司是一家以生物医药和房地产为主营业务的上市公司，旗下子公司包括山东北大高科华泰制药有限公司和江苏国农置业有限公司等。山东北大高科华泰制药有限公司主要负责生物医药业务，包括注射用克林霉素磷酸酯、注射用三磷酸腺苷二钠氯化镁、注射用二氯醋酸二异丙胺、注射用环磷腺苷葡胺、注射用三磷酸胞苷二钠、注射用尿激酶等产品的研发和销售。江苏国农置业有限公司主要负责房地产业务，包括房地产开发和销售、房屋的物业管理等。本公司前身是原招商局蛇口工业区汽车运输公司。1990年成立股份有限公司以后，于1991年1月14日在深圳证券交易所挂牌上市，1992年本公司名称由蛇口安达运输股份有限公司变更为深圳市蛇口安达实业股份有限公司，主营业务为汽车货运、旅客运输、兼营汽车修理、零售汽车配件。2001年公司主营业务变为生物特征识别系统、生物制药的研发与销售，2005年增加房地产开发和销售，2006年至今为生物制药的研发与销售、房地产开发和销售。本公司共发行股份83,976,684股，2000年前第一大股东为招商局蛇口工业区有限公司，其后将其所持本公司股份转让给深圳市北大高科技投资有限公司，本公司名称变为深圳市北大高科技股份有限公司。2005年，控股股东深圳市北大高科技投资有限公司更名为深圳市中农大科技投资有限公司，本公司也更名为深圳中国农大科技股份有限公司。目前，深圳市中农大科技投资有限公司持有本公司28.42%的股份，仍为本公司第一大股东。",广东省深圳市福田区梅林路卓越梅林中心广场（南区）B座2206A,1986-05-05,1991-01-14,化学制剂,
A股,000005.XSHE,世纪星源,深圳世纪星源股份有限公司,世纪星源,FOUNTAIN,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,www.fountain.com.cn,深圳世纪星源股份有限公司是经深圳市政府批准于1990年成立并在深圳证券交易所上市的中外合资股份制企业，是中国最早上市的公司之一。公司股票交易代码为000005，总股本为10.59亿股。　　公司自2008年起实施了可持续的绿色低碳跨越发展战略，将企业的发展和社会责任相结合，逐渐将绿色低碳的相关业务作为培育公司新的核心竞争力的主要发展方向。公司的绿色低碳跨越发展战略逐渐影响着公司的业务的各个层面，已深入到各项经营业务，业务团队的建设将成为绿色低碳城市社区建设的先行者，致力于形成以可持续发展为主旨的公司文化。,深圳市罗湖区深南东路2017号华乐大厦3楼,1989-05-08,1990-12-10,环保工程及服务,
A股,000006.XSHE,深振业A,深圳市振业(集团)股份有限公司,深振业、振业集团,Shenzhen Zhenye Group,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",www.zhenye.com,深圳市振业（集团）股份有限公司是深圳市国资委直管的国有控股上市公司，成立于1989年5月，1992年在深圳证券交易所公开上市，股票代码000006，主营业务为房地产开发经营，具备住房和城乡建设部颁发的房地产开发企业一级资质。按照“立足深圳，布局全国”的发展思路，积极拓展业务，目前已基本形成了以深圳及周边为中心，以广州、天津、西安、长沙、南宁等城市为重点，并向周围辐射的全国性战略布局，历年来开发项目有振业花园、振业大厦、星海名城、翠海花园、振业城、峦山谷、振业国际商务中心、惠阳振业城、西安振业·泊墅、南宁振业·青秀山1号、天津振业·城中央、长沙振业城、锦荟park、广州天颂花园等近30个，累计开发面积超过500万平方米。,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,1985-05-25,1992-04-27,焦炭加工,
A股,000007.XSHE,全新好,深圳市全新好股份有限公司,全新好,QUANXINHAO,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",www.sz000007.com,"深圳市全新好股份有限公司（原称“深圳市赛格达声股份有限公司”及“深圳市零七股份有限公司”；证券简称：全新好；证券代码：000007；法定英文名称：ShenZhen QuanXinHao Co.,Ltd. ）成立于1983年3月11日， 1992年4月13日公司成功在深交所挂牌上市，成为中国资本市场首批上市公众公司, 在驰骋资本市场的三十多年里，公司伴随中国资本市场的发展壮大，经历了市场经济数十年的洗礼和锤炼，从最初的电子加工业到房地产开发，从酒店旅游业到矿产资源开发，虽然公司在过去的转型过程中，也遇到过一些困难和错折，然而公司上下始终坚定在发展中解决问题的理念，经过股东和管理层的不懈努力，公司过去的历史遗留问题已经得到彻底解决，并在新一轮的经营转型当中，沿着公司战略目标向前发展，尤其是近年以来正在通过多轮资产重组，全面转型向信息技术服务业等现代新兴产业发展，企业价值已逐步显现，并得到投资者广泛认可，目前公司总市值已接近55亿元。",广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,1983-03-11,1992-04-13,其他稀有小金属,
A股,000008.XSHE,神州高铁,神州高铁技术股份有限公司,神州高铁,CHSR,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",www.shenzhou-gaotie.com,神州高铁的前身是北京新联铁集团股份有限公司，创建于1997年，2014年重组上市（000008）后更名为神州高铁技术股份有限公司，简称神州高铁。控股股东为中国国投高新产业投资有限公司。多年来，在自身发展的基础上，通过并购线路、信号、供电、站场等多家创办20余年的公司，共同组成了轨道交通运营检修维护装备领域唯一的一家涵盖全产业链的主板上市公司，员工人数约2700人，是中国高铁及城轨运营检修维护装备制造产业的领军供应商。公司拥有核心产品400余项，其中26项处于国内、国际领先地位，多项核心技术填补了国际空白。近年来，公司通过运营维护智能装备、大数据系统研发，致力于轨道交通云运营及智能检修维护体系的搭建和复制推广。,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,1989-10-11,1992-05-07,稀土,
A股,000009.XSHE,中国宝安,中国宝安集团股份有限公司,中国宝安集团,CBG,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",www.chinabaoan.com,"中国宝安集团股份有限公司(以下简称中国宝安集团)成立于1983年7月，是新中国第一批上市公司（股票代码：000009，股票简称：中国宝安）。在资本市场上曾连创成立新中国第一家股份制企业，发行新中国第一张股票、第一张可转换债券、第一张中长期认股权证等九项新中国第一。经过三十多年的发展，作为广东省和深圳市重点发展的大型企业集团之一，中国宝安在产业经营与资本经营领域均取得了非凡的业绩，目前形成了以高科技产业为主导，以股权投资、生物科技、城市运营开发等为辅的产业集群，拥有A股中国宝安（000009.SZ）、马应龙(600993.SH），H股国际精密（0929.HK）,新三板贝特瑞（835185.OC）、大地和（831385.OC）、友诚科技（873087.OC）、大佛药业（836649.OC）、成都绿金（870415.OC）等多家上市公司，以及二十多家全资、控股企业。",广东省深圳市笋岗东路1002号宝安广场A座28-29层,1990-10-08,1991-06-25,房地产开发,
A股,000010.XSHE,美丽生态,深圳美丽生态股份有限公司,美丽生态,ECOBEAUTY,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",http://www.eco-beauty.cn,公司是中国最早的上市公司之一，公司主营业务为园林绿化。公司于20130717成功完成股权分置改革，注入了宁波市风景园林设计研究院有限公司、浙江青草地园林市政建设发展有限公司、海南苗木等优质资产，为公司成功快速实现业务转型和主营业务定位，获得独立自主开展园林业务所需的完整生产经营优质资产和现金流，公司资质可比肩国内一线企业，综合竞争显著，为公司可持续发展打下了坚实基础。,广东省深圳市宝安中心区宝兴路6号海纳百川总部大厦B座1701-1703室,1989-01-09,1995-10-27,园林工程,
A股,000011.XSHE,深物业A,深圳市物业发展(集团)股份有限公司,深物业集团,SZPRD,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,www.szwuye.com.cn,"深圳市物业发展(集团)股份有限公司成立于1982年11月,总承包建设的深圳国际贸易中心大厦,成为“深圳速度的体现,改革开放的象征”。1992年3月,公司正式在深圳证券交易所挂牌交易(证券代码000011)。公司现股本总额为5.96亿股,其中A股5.28亿股,B股0.68亿股。公司开发建设的房地产项目以其卓越的品质和专业化的服务赢得社会的广泛赞誉。曾荣获“中国国有企业500强”第170名、“中国房地产综合效益百强企业”第2名、首次“中国股票上市公司综合实力百强企业”评比第23名、2010中国地产上市公司综合实力50强、2011深莞惠地产最具影响力品牌、2012年—2013年(连续两年)中国房地产上市公司百强企业称号、2011年—2015年(连续五年)中国房地产开发企业500强称号等诸多荣誉。",广东省深圳市罗湖区人民南路国贸大厦 16 层、20 层、39 层、42 层,1983-01-17,1992-03-30,房地产开发,
A股,000012.XSHE,南玻A,中国南玻集团股份有限公司,南玻集团,CSG,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",www.csgholding.com,"中国南玻集团股份有限公司成立于1984年,总部设在深圳蛇口,位于广东省前海-蛇口国家自贸区内。公司1992年在深圳证券交易所上市,是中国早期的上市公司之一。南玻集团所持有的“南玻”和“SG”商标均是“中国驰名商标”,南玻集团是中国玻璃行业为数不多持有两件驰名商标的大型集团企业。",广东省深圳市蛇口工业六路一号南玻大厦,1984-09-10,1992-02-28,玻璃制造,
A股,000013.XSHE,*ST石化A,深圳石化工业集团股份有限公司,深圳石化,SPEC,深圳石化工业集团股份有限公司,"Shenzhen Petrochemical Industry (Group) Co., Ltd.",nan,"公司根据国家股份有限公司条例的规定，经深圳市人民政府批准，由原深圳市石油化工(集团)公司改组为股份有限公司，并经中国人民银行深圳经济特区分行批准，发行普通股票(A股及B股),于1992年5月6日在深圳证券交易所上市。2004年9月20日，公司股票被深圳证券交易所终止上市交易。2004年11月26日，依照中国证监会和中国证券业协会的有关规定，公司的股票开始在代办股份转让系统上进行交易。",广东省深圳市深南中路2201号嘉麟豪庭B座1701,1988-09-20,1992-05-06,其他塑料制品,
A股,000014.XSHE,沙河股份,沙河实业股份有限公司,沙河股份,SHAHE INDUSTRY,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",www.shahe.cn,公司主要从事房地产开发以及配套工程开发建设、新型建材的生产与建设、物业租赁与管理、物资供销、国内外商业、及投资兴办实业等。公司已成功开发出荔园新村、祥祺花园、鹿鸣园、宝瑞轩、世纪村、世纪假日广场等多个住宅、商务项目。其中，世纪村通过国家建设部“3A”性能住宅认定，荣获“全国人居优秀推荐楼盘”称号。公司以深圳为依托，积极寻求对外扩张，并在湖南长沙、河南新乡等地开发新项目。公司拥有丰富的土地储备，曾在全国率先实行住宅质量保证书和住宅使用说明制度。连续多年被深圳权威资信机构评为“AAA”级信誉企业和深圳市守法纳税大户，曾获深圳市“文明企业”等多种殊荣。公司着力实施名牌精品战略，致力于全方位开拓和多元化发展，企业资产质量和盈利水平得以迅速提升，进而为社会提供更多优质产品服务和高额投资回报，确保了公司的可持续发展。,广东省深圳市南山区白石路2222号沙河世纪楼,1987-07-27,1992-06-02,房地产开发,
A股,000015.XSHE,PT中浩A,深圳中浩(集团)股份有限公司,中浩,nan,深圳中浩(集团)股份有限公司,Shenzhen Zhonghao(Group)Company Limited,http://www.szzhgroup.com/,深圳中浩(集团)股份有限公司原于1988年4月8日由中国食品工业技术开发总公司发起成立，1991年经深圳市人民政府(1991)992号文批准、于1991年12月3日重组成为股份有限公司，1992年6月25日，公司股票(A股、B股)在深圳证券交易所挂牌交易。2001年10月22日根据中国证券监督管理委员会证监公司字[2001]99号《关于深圳中浩(集团)股份有限公司股票终止上市的决定》文件规定，公司终止上市。经营范围：电子产品、通讯设备、家电电器、家俱、音箱、纸张、纸制品、日用化学品、鞋帽服装；国内商业、物资供销业(不含专营专卖和专控商品)；从事自己开发建设项目的监理业务。,广东省深圳市南山区文心三路九号中州控股中心B座2306,1988-04-08,1992-06-25,综合,
A股,000016.XSHE,深康佳A,康佳集团股份有限公司,康佳集团,KONKA GROUP,康佳集团股份有限公司,"Konka Group Co.,Ltd",www.konka.com,"康佳集团股份有限公司,全称为康佳集团股份有限公司,成立于1980年5月21日,前身是“广东光明华侨电子工业公司”,是中国改革开放后诞生的中外合资电子企业。在华侨城集团跨越式发展战略的引领下,康佳已进入了全新的战略发展期。当前的康佳,正按照“科技+产业+城镇化”的发展方向和“硬件+软件、终端+用户、科技+投控”的发展模式,以消费电子业务为基础,以“科技+投控”复合能力为支撑,向战略性新兴产业升级、向产业地产业务拓展、向互联网及供应链服务业务延伸,形成科技园区业务群、产业产品业务群、平台服务业务群和投资金融业务群四大业务群协同发展的全新局面。",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,1980-10-01,1992-03-27,彩电,
A股,000017.XSHE,*ST中华A,深圳中华自行车(集团)股份有限公司,深中华,CBC,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,www.cbc.com.cn,"深圳中华自行车(集团)股份有限公司从事的主要业务为自行车业务,包括生产、装配、采购、销售自行车及电动自行车等。坚持传统业务模式发展为主,优化调整产品结构和销售模式转型,按照业务团队电商化转型和内引外联成本可控方式,积极拓展电商业务模式;推进公司重组方遴选工作,并启动运动体验线上线下销售平台及研发中心建设项目前期业务升级衔接工作等。",广东省深圳市福田区八卦路31号众鑫科技大厦501室,1984-08-24,1992-03-31,其他交运设备,
A股,000018.XSHE,神城A退,神州长城股份有限公司,神州长城,Sino Great Wall,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",www.sgwde.com,"神州长城股份有限公司成立于1984年,是中国深交所主板上市公司(股票代码:000018),注册资本16.98亿人民币。公司主要在国内外从事工程投资、医疗投资业务。投资领域涵盖房屋建筑、道路桥梁、能源化工、健康医疗等,是国内领先的建筑工程领域投建一体化企业。具有大型工程PM、EPC、BT、BOT、PPP等领先的综合承包能力。",北京市经济技术开发区锦绣街3号神州长城大厦,1984-04-27,1992-06-16,装修装饰,
A股,000019.XSHE,深粮控股,深圳市深粮控股股份有限公司,深粮控股,SBSY,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",www.slkg1949.com,"深圳市深宝实业股份有限公司成立于1975年,前身为宝安县罐头厂。公司于1991年12月改制为股份有限公司,并于1992年10月在深圳证券交易所主板上市。是中国食品饮料行业上市公司。公司基本实现了全产业链的整合布局,建立了从茶叶种植、初/精制、茶提取、精品茶销售、茶文化体验、电子商务、茶叶交易服务平台、茶供应链金融等较为完善的茶产业链体系,旗下拥有深宝技术中心和云南普洱茶交易中心两个产业型服务平台,深宝华城和婺源聚芳永两个国家级高新技术企业,并形成了聚芳永、武夷山深宝岩茶两个终端精品茶品牌以及iTealife和Teabank两个时尚茶体验空间。公司在核心技术研发、市场网络建设、产业链运营和人才聚集等方面积累相当扎实的基础和丰富的经验,是国内目前为数不多的以茶产业为核心业务的国有控股主板上市公司,属省市两级农业产业化领先企业。",广东省深圳市福田区福虹路9号世贸广场A座13楼,1981-07-30,1992-10-12,软饮料,
