行业,关键词
种子生产,"农发,北农,种业,转基因"
粮食种植,播种
烟草,"烟草专卖局,假烟,控烟,涉烟,卷烟,香烟,电子烟"
铁路设备,"列车,轨道交通"
渔业,"水产,海鲜, 海产"
交通运输,"港口,贸易港,机场,航运,民航,冷链"
航空航天与国防,"航天,航天,国防,坠机, 坠毁, 无人机, 击落, 波音,卫星, 发射, 导弹, 飞机 "
通信,5G
旅游综合,旅游
汽车,"特斯拉,新能源汽车,自动驾驶汽车,充电桩"
化工,"可燃冰,氟化工,大麻"
电力,"PTA,风电"
医药生物,"呼吸机,医药,互联网医疗,防护服,疫苗,创新药"
公用事业,垃圾分类
环保工程及服务,"环保,危险废物, 危废, 固废,再生资源,回收"
公用事业,水务
建筑材料,玻璃
饮料制造,"饮用水,咖啡,饮料"
电子,"LED,传感器,半导体"
焦炭加工,焦炭
电气设备,光伏
商业贸易,"跨境电商,地摊经济,新零售"
钢铁,钢材
有色金属,硅锰
国防军工,军民融合
个人用品,化妆品
采掘,油田
纺织服装,涤纶
工业机械,"机械,机器人"
房屋建设,"建筑,建部,快报,建设部"
其他专用机械,"精工,生产线,配套"
影视,"电影,院线,票房,传媒,直播,影片"
物流,"供应链, 电商"
医药商业,"药品,药房"
教育服务,"培训, 教育, 幼儿园,开学,中小学"
商业银行,"理财,存款"
计算机设备,"投影机,传真机,打印机,显卡,智能手机,硬盘,内存,笔记本电脑,面板,屏幕,彩电"
餐馆,"外卖,餐厅,餐饮,食品安全"
仪器仪表,农电
化学制剂,"康泰克,伪麻黄碱,制剂"
高压设备,"高压,电网"
水泥制造,水泥
航空装备,航空
交通基本设施,"通行费,收费站,省界"
音乐,"音乐会,歌曲"
多元金融,"信托,券商"
多种金属与采矿,"石墨, 稀土"
无机盐,"食用盐,融冰,原盐,食盐 "
电气部件与设备,"逆变器,电线,电缆,电池,变压器,光伏"
资本市场服务,"公募,资管,私募,基金"
医疗保健用品,"试剂,药监局"
it服务,"数据管理,信息安全"
金属新材料,"钼业,钴业"
光伏设备,"多晶,硅片,单晶,多晶硅"
电子制造,"摄像头,显示屏,显示器,传感器"
航空货运与物流,"港航,航运,港口"
无线电信业务,电信
景点,"度假区,景区,游客"
其他橡胶制品,胶片
贸易,"进料加工,进出境,海关,进出口"
通信运营,"工信部,卫星电话,通信,信息化"
互联网,"游戏,网红,物联网,大数据,云计算"
家用电器,家电
非银金融,"保险,数字货币,金融科技,创投"
农林牧渔,"养鸡,猪价,农业,烟草,生猪,棉花,棕榈油,豆粕,大豆,玉米"
采掘,铁矿石
建筑装饰,装修
特种化学制品,"涂料,钛白粉"
石油开采,"探采,矿业权,油气田,石油勘探"
机床工具,"机床,金属加工"
体娱文化活动,"赛事,演出"
化肥与农用药剂,"化肥,硫酸钾,二铵,一铵,氯化钾,磷酸"
采掘服务,"挖矿,新矿,矿池,矿工,煤矿"
风电设备,"风能,风电"
容器与包装,"塑料,包装,纸箱,塑料制品,塑料袋"
其他服装,"裙,童装,裤,款式"
集成电路,芯片
医疗服务,"医疗队,医院,医用,医疗机构"
其他电子,"焊接机,切割机"
水利工程,水利水电
食品综合,人造肉
保险,"保险业,健康险,财险,理赔,人寿"
燃气,"采暖,天然气,液化气,热水器,供气,油气,燃气"
电力,"瓦时,电网,供电,发电,电价"
房地产开发,"房企,长租,写字楼,住宅,房价,楼市,房地产"
石油加工,"石油化学, 精炼,油价,原油"
林业产品,"森林法,木材"
房屋建设,"城市规划,民用建筑,控制性,公共建筑"
药品贸易,"购药,药房,药店"